movie_id,genre_id
27793,14.0
44284,18.0
110972,35.0
110972,10749.0
32622,35.0
32622,18.0
73067,18.0
73067,10749.0
73067,10752.0
11863,28.0
11863,53.0
11863,9648.0
11863,10749.0
55475,35.0
55475,18.0
55475,10749.0
124636,10402.0
124636,99.0
9101,35.0
123360,99.0
5757,35.0
39428,18.0
9302,18.0
9302,10749.0
11000,35.0
249882,18.0
16388,35.0
16388,18.0
16388,10749.0
9737,28.0
9737,35.0
9737,80.0
9737,53.0
30765,28.0
30765,12.0
30765,18.0
30765,10751.0
10474,18.0
10474,80.0
22279,10749.0
22279,18.0
22279,35.0
30157,80.0
30157,35.0
30157,18.0
30157,53.0
568,18.0
11780,12.0
34996,18.0
34996,27.0
414,28.0
414,80.0
414,14.0
649,18.0
649,10749.0
1873,18.0
1873,53.0
5894,35.0
1775,28.0
1775,35.0
8839,14.0
8839,35.0
8839,10751.0
20649,9648.0
20649,80.0
20649,18.0
10329,28.0
10329,12.0
10329,18.0
10329,9648.0
10329,878.0
10329,53.0
8963,28.0
8963,53.0
8963,18.0
26564,99.0
8068,53.0
8068,28.0
8068,80.0
8512,18.0
8512,9648.0
8512,53.0
1572,28.0
1572,53.0
13552,28.0
13552,35.0
13552,80.0
13552,18.0
259209,18.0
259209,80.0
6520,28.0
6520,12.0
6520,18.0
6520,10749.0
9073,12.0
10428,28.0
10428,80.0
10428,53.0
10428,18.0
17447,35.0
17447,18.0
17447,10749.0
9886,12.0
9886,28.0
9886,18.0
9886,878.0
9886,53.0
9482,878.0
19326,35.0
19326,18.0
9344,18.0
9344,80.0
9071,18.0
9071,35.0
8973,9648.0
8973,27.0
8973,53.0
15730,35.0
15730,18.0
47608,18.0
47608,10751.0
47608,10749.0
2293,10749.0
2293,35.0
9070,28.0
9070,12.0
9070,878.0
9070,10751.0
9070,14.0
68274,35.0
68274,18.0
68274,10749.0
48787,53.0
48787,10769.0
34574,27.0
34574,53.0
1642,80.0
1642,18.0
1642,9648.0
1642,53.0
1642,28.0
11472,35.0
36196,35.0
11980,14.0
11980,27.0
11980,53.0
58372,14.0
58372,35.0
58372,18.0
32646,18.0
10533,18.0
10533,36.0
10533,10749.0
56088,99.0
10802,18.0
10149,35.0
10149,18.0
18402,35.0
9348,878.0
9348,27.0
9348,28.0
139408,18.0
281,80.0
281,18.0
281,878.0
281,53.0
5967,18.0
5967,10749.0
79593,53.0
47939,18.0
47939,14.0
36834,18.0
36834,10749.0
9090,35.0
3512,28.0
3512,53.0
52856,35.0
52856,18.0
52856,10751.0
77350,99.0
9560,18.0
9560,10749.0
9804,12.0
9804,28.0
31611,18.0
65796,28.0
65796,37.0
49805,18.0
26258,12.0
26258,28.0
26258,35.0
26258,80.0
26258,10751.0
50797,18.0
19155,18.0
19155,10752.0
76,18.0
76,10749.0
11017,35.0
37141,18.0
37141,53.0
9382,35.0
9382,18.0
6715,18.0
6715,10751.0
18256,53.0
18256,18.0
18256,27.0
18256,9648.0
22625,18.0
22625,10751.0
22625,10749.0
2292,35.0
1909,10749.0
1909,18.0
1909,35.0
8984,18.0
8984,53.0
8984,80.0
8984,9648.0
8984,10749.0
61813,53.0
4954,28.0
4954,12.0
4954,53.0
62488,80.0
62488,35.0
62488,14.0
10531,18.0
10531,53.0
10531,9648.0
11929,80.0
11929,18.0
11929,9648.0
8467,35.0
10451,35.0
10451,18.0
10451,10749.0
20156,18.0
20156,9648.0
18395,53.0
18395,35.0
18395,80.0
18395,10749.0
522,35.0
522,18.0
522,36.0
397,35.0
397,10749.0
10525,35.0
10525,18.0
10525,10749.0
27985,28.0
27985,12.0
27985,18.0
27985,10751.0
15789,10749.0
15789,16.0
15789,10751.0
15789,35.0
15789,12.0
27303,18.0
27303,53.0
21183,18.0
21183,10751.0
21183,14.0
10954,36.0
10954,18.0
47867,18.0
47867,10751.0
47867,14.0
43475,14.0
43475,16.0
43475,878.0
43475,10751.0
72031,18.0
72031,28.0
72031,53.0
72031,80.0
14275,99.0
1024,18.0
1024,14.0
17207,35.0
17207,10751.0
13701,18.0
13701,10402.0
13701,10749.0
14819,35.0
14819,10751.0
14819,18.0
32631,28.0
32631,53.0
